mission_time,target_altitude,current_altitude,error,velocity_cmd,control_action,height_sonar,height_baro,velocity_z_measured,battery
10.359884262084961,1.5,1.41,0.09000000000000008,0.0,HOLD,1.41,-39.23,0.07,98
10.403594493865967,1.5,1.41,0.09000000000000008,0.0,HOLD,1.41,-39.23,0.07,98
10.45626187324524,1.5,1.36,0.1399999999999999,1.0,CLIMB,1.36,-39.23,0.05,98
10.509496927261353,1.5,1.36,0.1399999999999999,1.0,CLIMB,1.36,-39.23,0.05,98
10.552961826324463,1.5,1.33,0.16999999999999993,1.0,CLIMB,1.33,-39.23,0.04,98
10.606712341308594,1.5,1.33,0.16999999999999993,1.0,CLIMB,1.33,-39.23,0.04,98
10.659876346588135,1.5,1.31,0.18999999999999995,1.0,CLIMB,1.31,-39.39,0.02,98
10.702480792999268,1.5,1.31,0.18999999999999995,1.0,CLIMB,1.31,-39.39,0.02,98
10.756157636642456,1.5,1.31,0.18999999999999995,1.0,CLIMB,1.31,-39.37,0.0,98
10.809232234954834,1.5,1.31,0.18999999999999995,1.0,CLIMB,1.31,-39.37,0.0,98
10.851629734039307,1.5,1.31,0.18999999999999995,1.0,CLIMB,1.31,-39.37,0.0,98
10.905220031738281,1.5,1.34,0.15999999999999992,1.0,CLIMB,1.34,-39.35,-0.02,98
10.959644794464111,1.5,1.41,0.09000000000000008,0.0,HOLD,1.41,-39.27,-0.05,98
11.002412796020508,1.5,1.41,0.09000000000000008,0.0,HOLD,1.41,-39.27,-0.05,98
11.05612301826477,1.5,1.41,0.09000000000000008,0.0,HOLD,1.41,-39.27,-0.05,98
11.10034966468811,1.5,1.47,0.030000000000000027,0.0,HOLD,1.47,-39.26,-0.07,98
11.154749870300293,1.5,1.47,0.030000000000000027,0.0,HOLD,1.47,-39.26,-0.07,98
11.20855450630188,1.5,1.55,-0.050000000000000044,0.0,HOLD,1.55,-39.25,-0.08,98
11.252158641815186,1.5,1.55,-0.050000000000000044,0.0,HOLD,1.55,-39.25,-0.08,98
11.305915832519531,1.5,1.62,-0.1200000000000001,-0.8,DESCEND,1.62,-39.27,-0.07,98
11.359683752059937,1.5,1.62,-0.1200000000000001,-0.8,DESCEND,1.62,-39.27,-0.07,98
11.40279483795166,1.5,1.67,-0.16999999999999993,-0.8,DESCEND,1.67,-39.14,-0.05,98
11.456280708312988,1.5,1.67,-0.16999999999999993,-0.8,DESCEND,1.67,-39.14,-0.05,98
11.50985312461853,1.5,1.7,-0.19999999999999996,-0.8,DESCEND,1.7,-39.09,-0.02,98
11.554158210754395,1.5,1.7,-0.19999999999999996,-0.8,DESCEND,1.7,-39.09,-0.02,98
11.60728907585144,1.5,1.72,-0.21999999999999997,-0.8,DESCEND,1.72,-39.12,0.0,97
11.66057300567627,1.5,1.72,-0.21999999999999997,-0.8,DESCEND,1.72,-39.12,0.0,97
11.703428983688354,1.5,1.7,-0.19999999999999996,-0.8,DESCEND,1.7,-39.11,0.02,97
11.75687050819397,1.5,1.7,-0.19999999999999996,-0.8,DESCEND,1.7,-39.11,0.02,97
11.801758766174316,1.5,1.67,-0.16999999999999993,-0.8,DESCEND,1.67,-39.11,0.04,97
11.85522747039795,1.5,1.67,-0.16999999999999993,-0.8,DESCEND,1.67,-39.11,0.04,97
11.909160137176514,1.5,1.62,-0.1200000000000001,-0.8,DESCEND,1.62,-39.19,0.05,97
11.952218294143677,1.5,1.62,-0.1200000000000001,-0.8,DESCEND,1.62,-39.19,0.05,97
12.005909442901611,1.5,1.56,-0.06000000000000005,0.0,HOLD,1.56,-39.18,0.06,97
12.059621095657349,1.5,1.56,-0.06000000000000005,0.0,HOLD,1.56,-39.18,0.06,97
12.102140188217163,1.5,1.5,0.0,0.0,HOLD,1.5,-39.24,0.06,97
12.155959129333496,1.5,1.5,0.0,0.0,HOLD,1.5,-39.24,0.06,97
12.210095882415771,1.5,1.43,0.07000000000000006,0.0,HOLD,1.43,-39.17,0.06,97
12.253099203109741,1.5,1.43,0.07000000000000006,0.0,HOLD,1.43,-39.17,0.06,97
12.307016134262085,1.5,1.37,0.1299999999999999,1.0,CLIMB,1.37,-39.37,0.04,97
12.350286483764648,1.5,1.37,0.1299999999999999,1.0,CLIMB,1.37,-39.37,0.04,97
12.403248071670532,1.5,1.33,0.16999999999999993,1.0,CLIMB,1.33,-39.35,0.03,97
12.456847429275513,1.5,1.33,0.16999999999999993,1.0,CLIMB,1.33,-39.35,0.03,97
