test_distance,sample_num,detected,x_tag,y_tag,z_tag,altitude,battery
2.0,91,1,0.27971742435007396,-0.4337557361130634,2.029695376779338,0.75,44
2.0,92,1,0.28390519865342906,-0.4300343178243581,2.027184412935178,0.76,44
2.0,93,1,0.2829609816192745,-0.42168942887098776,2.0186311635549,0.76,44
2.0,94,1,0.27947100976905254,-0.41175373507740226,2.0182774872516034,0.77,44
2.0,95,1,0.27199607688116656,-0.3992576085614419,2.0241445435440877,0.78,44
2.0,96,1,0.2660011912502859,-0.3902080232796427,2.03989016069153,0.79,44
2.0,97,1,0.25881095544166394,-0.37645211602538975,2.04902261942713,0.8,44
2.0,98,1,0.25091650447289543,-0.3596164456146989,2.052631965250878,0.82,44
2.0,99,1,0.24519281860126643,-0.338913110378086,2.0784926713573135,0.83,44
2.0,100,1,0.24193149930185084,-0.3225135492743551,2.0851262663132375,0.85,44
2.0,101,1,0.2422982470241135,-0.3045266559609807,2.0893020037716368,0.86,44
2.0,102,1,0.24709572160904503,-0.2985187832698775,2.1058234782061653,0.87,44
2.0,103,1,0.2489792710680059,-0.28884385382737365,2.09037509587566,0.88,44
2.0,104,1,0.2553290693194745,-0.280895012671678,2.09802058537098,0.88,44
2.0,105,1,0.25609234725085084,-0.2750045594967599,2.0758925733378897,0.88,44
2.0,106,1,0.26087428050450506,-0.2760932906861664,2.086584247632029,0.88,44
2.0,107,1,0.2646748063955105,-0.2784564140807521,2.0860658106275203,0.88,44
2.0,108,1,0.2670899684026893,-0.2807729442039785,2.0830947063943483,0.88,44
2.0,109,1,0.2689242658329815,-0.2851862755319164,2.0820616646890078,0.88,44
2.0,110,1,0.26959215859046287,-0.2889762440975185,2.0724755838745126,0.87,44
2.0,111,1,0.27119078791789203,-0.2938714774524497,2.0664398321679927,0.86,44
2.0,112,1,0.27153950271291566,-0.2954452764059712,2.0578623162921814,0.86,44
2.0,113,1,0.2730412268579455,-0.2989880461514591,2.050425207227409,0.86,44
2.0,114,1,0.2737440529657375,-0.3023009041834836,2.048562781172215,0.86,44
2.0,115,1,0.27277716298210025,-0.3030705330251748,2.0381742021968825,0.85,44
2.0,116,1,0.27302544242657856,-0.30590551298276286,2.032080840088032,0.85,44
2.0,117,1,0.27526684167695564,-0.3098864281182571,2.0386980639454526,0.85,44
2.0,118,1,0.2754735947745738,-0.31077270782981087,2.0370123837855476,0.85,44
2.0,119,1,0.2757499361249845,-0.3115519322100171,2.0382560463660524,0.85,44
2.0,120,1,0.27626079053682473,-0.31181867879399744,2.032376173302049,0.85,44
2.0,121,1,0.2775269340848043,-0.31177687674426197,2.03016430514789,0.84,44
2.0,122,1,0.28070254485147267,-0.3125771429649228,2.033797969345836,0.84,44
2.0,123,1,0.2831723875747246,-0.3145176986472577,2.0392167317027785,0.84,44
2.0,124,1,0.28346613774577056,-0.3146140107160387,2.0334210891073052,0.84,44
2.0,125,1,0.28336929945893624,-0.3185094799504102,2.0391519668861138,0.84,44
2.0,126,1,0.2827873936115525,-0.32088579418481944,2.0397245218741835,0.84,44
2.0,127,1,0.2835575700055562,-0.32528447401446137,2.04595185056208,0.84,44
2.0,128,1,0.28351596147320374,-0.3278223731556196,2.0471595591144864,0.84,44
2.0,129,1,0.2841859270629494,-0.33157799097845864,2.0562442139967745,0.83,44
2.0,130,1,0.28226476200609135,-0.33486526406618583,2.0557439878967694,0.83,44
2.0,131,1,0.28044005926622,-0.3375859555945732,2.053513893888,0.83,44
2.0,132,1,0.2794517600738753,-0.3408198626373374,2.056568954299087,0.83,44
2.0,133,1,0.27983695967346045,-0.3429535356244783,2.054428274985626,0.82,44
2.0,134,1,0.2847270125018427,-0.3439820760324241,2.0559757800078486,0.82,44
2.0,135,1,0.2919293875500684,-0.3467320803193931,2.052167565850228,0.82,44
2.0,136,1,0.3052586606864861,-0.35477805206507085,2.0492580099647335,0.82,44
2.0,137,1,0.3130108505692863,-0.3592598673600494,2.036763163687551,0.81,44
2.0,138,1,0.31874949114812634,-0.36201710444757224,2.037333145005342,0.81,44
2.0,139,1,0.31963426163144554,-0.36383009615069645,2.0400274467600927,0.81,44
2.0,140,1,0.31504353908627614,-0.3660546917486106,2.043606686762405,0.81,44
2.0,141,1,0.30565477106867334,-0.3664770215212093,2.048155451045438,0.81,44
2.0,142,1,0.289255628797719,-0.36313365814764265,2.0646977763517294,0.81,44
2.0,143,1,0.27316375349746097,-0.3556718414762121,2.0714518547985397,0.82,44
2.0,144,1,0.2516160957253532,-0.34103209577980004,2.09411226194218,0.83,44
2.0,145,1,0.23550410141319159,-0.3272913397406444,2.107828526930934,0.84,44
2.0,146,1,0.2213644088758042,-0.3111205795132961,2.110801788357404,0.87,44
2.0,147,1,0.2077551426521303,-0.29456922905674776,2.117038233300747,0.87,44
2.0,148,1,0.2029737336713005,-0.284426261104557,2.122044832915187,0.88,44
2.0,149,1,0.2036118908212941,-0.2815148937236513,2.138819961307815,0.88,44
2.0,150,1,0.2078935837097321,-0.2824611838793419,2.1256409858988055,0.88,44
2.0,151,1,0.21346755623965039,-0.2846301517178132,2.115103471450902,0.88,44
2.0,152,1,0.22808439120865523,-0.29479388424719316,2.112645976786736,0.87,44
2.0,153,1,0.23979147417941316,-0.3049267683870361,2.079497400338282,0.86,43
2.0,154,1,0.25041786701047775,-0.31758741507488236,2.08493232294695,0.85,43
2.0,155,1,0.2579926342268347,-0.3283096448445354,2.0536432963908524,0.83,43
2.0,156,1,0.2658691736110161,-0.3393148773852937,2.055894094256346,0.83,43
2.0,157,1,0.26850406607523064,-0.34698144076699416,2.0405414887222966,0.82,43
2.0,158,1,0.27008051690101836,-0.35307239934126317,2.034293987711169,0.82,43
2.0,159,1,0.27077632366758814,-0.3575553540904394,2.0343282167140773,0.81,43
2.0,160,1,0.27114969169207015,-0.35925447776821573,2.0220294864391133,0.81,43
2.0,161,1,0.2747683524412912,-0.36707233896893443,2.0153871433748,0.8,43
2.0,162,1,0.28015339105425086,-0.37644207891899684,2.021501231100349,0.8,43
2.0,163,1,0.28569015760074723,-0.38504950927435544,2.012051712286586,0.79,43
2.0,164,1,0.2913850943405689,-0.39166934565643136,2.0144021778940426,0.78,43
2.0,165,1,0.295056799036501,-0.3965190688008032,2.0084551922780496,0.78,43
2.0,166,1,0.2973953558045605,-0.40052126311976255,1.9957796432121375,0.78,43
2.0,167,1,0.30159591620279363,-0.4075907949726385,2.010586084223286,0.77,43
2.0,168,1,0.3017563229146847,-0.40971634337333385,2.0111271807487086,0.77,43
2.0,169,1,0.3005816366054689,-0.4098059961557382,2.0069644532067654,0.77,43
2.0,170,1,0.2985674557354183,-0.40711371326450346,1.9989796603058503,0.77,43
2.0,171,1,0.30039576598186757,-0.4065711257483826,2.0119394231990384,0.77,43
2.0,172,1,0.3014962007693529,-0.40163317591937736,2.0067417680211515,0.77,43
2.0,173,1,0.30424594786274956,-0.39962334147352496,2.008087795668839,0.78,43
2.0,174,1,0.3078924844961181,-0.3995596853139901,2.01497420614499,0.78,43
2.0,175,1,0.30992788222430256,-0.3985055924968004,2.0150085165575797,0.78,43
2.0,176,1,0.3114835385612626,-0.3980030423756933,2.015615096222483,0.78,43
2.0,177,1,0.3138059710988475,-0.3983064112686971,2.0253120962831765,0.78,43
2.0,178,1,0.3145028933016788,-0.3996627792099345,2.030558644211237,0.78,43
2.0,179,1,0.3134937487778051,-0.3977851548671572,2.023810960614266,0.78,43
2.0,180,1,0.31485330086125574,-0.3982439252690023,2.0299077597236965,0.78,43
2.0,181,1,0.31551246519998016,-0.3986644254707439,2.0314868882809187,0.78,43
2.0,182,1,0.31589101601044894,-0.3975422446297281,2.032320704971121,0.78,43
2.0,183,1,0.31633851246569694,-0.39707957017865647,2.034634335720053,0.78,43
2.0,184,1,0.3137132468509877,-0.39288726079262815,2.0221991565977597,0.78,43
2.0,185,1,0.31328253080856183,-0.39241419112560044,2.025389363908436,0.79,43
2.0,186,1,0.3113015635574997,-0.38879577127346504,2.0214615099367177,0.79,43
2.0,187,1,0.3091506350180726,-0.3859199843715539,2.0220249394873377,0.79,43
2.0,188,1,0.3082941230574667,-0.3833773170501558,2.0242432489057682,0.79,43
2.0,189,1,0.3072713101160523,-0.3813247435485704,2.0257030417743387,0.8,43
2.0,190,1,0.3053278762735977,-0.3806931360037314,2.0236998697682282,0.8,43
2.0,191,1,0.30326438387405064,-0.3781638522032889,2.0170088269749633,0.8,43
2.0,192,1,0.30336750182668537,-0.3804524212592329,2.025140237429609,0.79,43
2.0,193,1,0.30191808038689494,-0.38002166159535977,2.028050323745225,0.8,43
2.0,194,1,0.2995162644344451,-0.37842168610430776,2.0213376023482645,0.8,43
2.0,195,1,0.29908870365247675,-0.3817655904444913,2.02187568712967,0.79,43
2.0,196,1,0.30004452226792233,-0.38581740378909696,2.0250779454380377,0.79,43
2.0,197,1,0.3006785479163445,-0.38763238291715013,2.0180376158680486,0.79,42
2.0,198,1,0.3070693225460175,-0.3937514496349876,2.0148621600708028,0.78,42
2.0,199,1,0.312891001565154,-0.39902497084394073,2.007515135774242,0.78,42
2.0,200,1,0.3236340015858588,-0.40638824145195673,2.0077311084933354,0.77,42
