mission_time,target_altitude,current_altitude,error,velocity_cmd,proportional,integral,derivative
12.204326152801514,1.5,1.35,0.1499999999999999,0.094245,0.04499999999999997,0.04924500000000002,0.0
12.257349252700806,1.5,1.35,0.1499999999999999,0.09431999999999999,0.04499999999999997,0.049320000000000024,0.0
12.300042152404785,1.5,1.35,0.1499999999999999,0.09439499999999999,0.04499999999999997,0.04939500000000002,0.0
12.35304307937622,1.5,1.35,0.1499999999999999,0.09447,0.04499999999999997,0.04947000000000003,0.0
12.406924962997437,1.5,1.36,0.1399999999999999,0.08954,0.04199999999999997,0.04954000000000003,-0.0020000000000000018
12.459059000015259,1.5,1.36,0.1399999999999999,0.09161,0.04199999999999997,0.04961000000000002,0.0
12.50139594078064,1.5,1.36,0.1399999999999999,0.09167999999999998,0.04199999999999997,0.049680000000000016,0.0
12.555202960968018,1.5,1.36,0.1399999999999999,0.09174999999999998,0.04199999999999997,0.049750000000000016,0.0
12.60819411277771,1.5,1.36,0.1399999999999999,0.09181999999999998,0.04199999999999997,0.04982000000000001,0.0
12.650592565536499,1.5,1.36,0.1399999999999999,0.09188999999999997,0.04199999999999997,0.04989000000000001,0.0
12.703264236450195,1.5,1.36,0.1399999999999999,0.09195999999999997,0.04199999999999997,0.049960000000000004,0.0
12.755716562271118,1.5,1.36,0.1399999999999999,0.09202999999999997,0.04199999999999997,0.050030000000000005,0.0
12.808443546295166,1.5,1.37,0.1299999999999999,0.08709499999999996,0.038999999999999965,0.050095,-0.0020000000000000018
12.851121187210083,1.5,1.37,0.1299999999999999,0.08915999999999996,0.038999999999999965,0.05016,0.0
12.904277086257935,1.5,1.37,0.1299999999999999,0.08922499999999997,0.038999999999999965,0.050225,0.0
12.957390546798706,1.5,1.37,0.1299999999999999,0.08928999999999997,0.038999999999999965,0.05029,0.0
13.000037908554077,1.5,1.37,0.1299999999999999,0.08935499999999996,0.038999999999999965,0.050355,0.0
13.052526712417603,1.5,1.37,0.1299999999999999,0.08941999999999997,0.038999999999999965,0.05042,0.0
13.105611801147461,1.5,1.38,0.1200000000000001,0.08448000000000007,0.03600000000000003,0.050480000000000004,-0.0019999999999999575
13.15867280960083,1.5,1.38,0.1200000000000001,0.08654000000000003,0.03600000000000003,0.05054,0.0
13.201768159866333,1.5,1.39,0.1100000000000001,0.08159500000000003,0.03300000000000003,0.050595,-0.0020000000000000018
13.25452470779419,1.5,1.39,0.1100000000000001,0.08365000000000003,0.03300000000000003,0.050649999999999994,0.0
